TO02138 1_200060960            43.281   10.807    0 Tos prec temp dirv velv umid txtn pres
TO02139 1_200060961            43.202   10.739    0 Tos prec temp dirv velv umid txtn pres
TO02140 1_200060962            43.258   10.692    0 Tos prec temp dirv velv umid txtn pres
TO02141 1_200060963            43.146   10.863    0 Tos prec temp dirv velv umid txtn pres
TO02142 1_200060965            43.442   10.953    0 Tos prec temp dirv velv umid txtn pres
TO02143 1_200060966            43.435   10.725    0 Tos prec temp dirv velv umid txtn pres
TO02144 1_200060967            43.155   10.807    0 Tos prec temp dirv velv umid txtn pres
TO02145 1_200060968            43.124   10.640    0 Tos prec temp dirv velv umid txtn pres
TO02146 1_200060969            43.323   10.670    0 Tos prec temp dirv velv umid txtn pres
TO02147 1_200060974            43.068   10.722    0 Tos prec temp dirv velv umid txtn pres
TO02148 1_200060975            43.019   10.614    0 Tos prec temp dirv velv umid txtn pres
TO02149 1_200060976            43.071   10.814    0 Tos prec temp dirv velv umid txtn pres
TO02150 1_200060977            43.216   10.987    0 Tos prec temp dirv velv umid txtn pres
TO02151 1_200060978            43.365   10.990    0 Tos prec temp dirv velv umid txtn pres
TO02152 1_200060979            43.368   10.603    0 Tos prec temp dirv velv umid txtn pres
TO02153 1_200060981            43.307   10.927    0 Tos prec temp dirv velv umid txtn pres
TO02154 1_200060982            43.254   10.944    0 Tos prec temp dirv velv umid txtn pres
TO02155 1_200060983            43.334   10.858    0 Tos prec temp dirv velv umid txtn pres
TO02156 1_200060986            43.203   11.077    0 Tos prec temp dirv velv umid txtn pres
TO02157 1_200060988            43.292   11.167    0 Tos prec temp dirv velv umid txtn pres
TO02158 1_200060989            43.143   10.974    0 Tos prec temp dirv velv umid txtn pres
TO02159 1_200060990            43.103   11.039    0 Tos prec temp dirv velv umid txtn pres
TO02160 1_200060992            43.541   11.566    0 Tos prec temp dirv velv umid txtn pres
TO02161 1_200060993            43.486   11.379    0 Tos prec temp dirv velv umid txtn pres
TO02162 1_200060994            43.591   11.605    0 Tos prec temp dirv velv umid txtn pres
TO02163 1_200060995            43.415   11.517    0 Tos prec temp dirv velv umid txtn pres
TO02164 1_200060996            43.451   11.531    0 Tos prec temp dirv velv umid txtn pres
TO02165 1_200060998            43.203   11.804    0 Tos prec temp dirv velv umid txtn pres
TO02166 1_200060999            43.183   11.932    0 Tos prec temp dirv velv umid txtn pres
TO02167 1_200061000            43.343   11.929    0 Tos prec temp dirv velv umid txtn pres
TO02168 1_200061001            43.269   11.996    0 Tos prec temp dirv velv umid txtn pres
TO02169 1_200061003            43.052   11.491    0 Tos prec temp dirv velv umid txtn pres
TO02170 1_200061004            43.066   11.725    0 Tos prec temp dirv velv umid txtn pres
TO02171 1_200061005            43.155   11.650    0 Tos prec temp dirv velv umid txtn pres
TO02172 1_200061008            43.329   11.555    0 Tos prec temp dirv velv umid txtn pres
TO02173 1_200061009            43.276   11.230    0 Tos prec temp dirv velv umid txtn pres
TO02174 1_200061010            42.951   11.853    0 Tos prec temp dirv velv umid txtn pres
TO02175 1_200061020            43.001   11.223    0 Tos prec temp dirv velv umid txtn pres
TO02176 1_200061021            43.062   11.323    0 Tos prec temp dirv velv umid txtn pres
TO02177 1_200061022            43.984   11.364    0 Tos prec temp dirv velv umid txtn pres
TO02178 1_200061024            42.940   11.284    0 Tos prec temp dirv velv umid txtn pres
TO02179 1_200061025            42.981   10.979    0 Tos prec temp dirv velv umid txtn pres
TO02180 1_200061026            42.893   10.927    0 Tos prec temp dirv velv umid txtn pres
TO02181 1_200061027            42.805   11.303    0 Tos prec temp dirv velv umid txtn pres
TO02182 1_200061028            42.764   11.166    0 Tos prec temp dirv velv umid txtn pres
TO02183 1_200061029            42.614   11.255    0 Tos prec temp dirv velv umid txtn pres
TO02184 1_200061030            42.786   11.505    0 Tos prec temp dirv velv umid txtn pres
TO02185 1_200061031            42.691   11.546    0 Tos prec temp dirv velv umid txtn pres
TO02186 1_200061032            42.719   11.491    0 Tos prec temp dirv velv umid txtn pres
TO02187 1_200061033            42.694   11.330    0 Tos prec temp dirv velv umid txtn pres
TO02188 1_200061040            42.642   11.425    0 Tos prec temp dirv velv umid txtn pres
TO02189 1_200061041            42.601   11.518    0 Tos prec temp dirv velv umid txtn pres
TO02190 1_200061042            42.558   11.239    0 Tos prec temp dirv velv umid txtn pres
TO02191 1_200061045            42.544   11.336    0 Tos prec temp dirv velv umid txtn pres
TO02192 1_200061050            43.875   10.858  465 Tos prec temp dirv velv umid txtn pres
TO02193 1_200061051            42.659   11.016    1 Tos prec temp dirv velv umid txtn pres
TO02194 1_200061053            43.912   10.501  134 Tos prec temp dirv velv umid txtn pres
TO02195 1_200061054            42.385   11.169  615 Tos prec temp dirv velv umid txtn pres
TO02196 1_200061057            42.794   11.405  370 Tos prec temp dirv velv umid txtn pres
TO02197 1_200061058            44.032   10.599  565 Tos prec temp dirv velv umid txtn pres
TO02198 1_200061061            44.068   10.458  270 Tos prec temp dirv velv umid txtn pres
TO02199 1_200061062            43.260   10.596   70 Tos prec temp dirv velv umid txtn pres
TO02200 1_200061064            42.929   11.079   40 Tos prec temp dirv velv umid txtn pres
TO02201 1_200061067            44.046   10.109  150 Tos prec temp dirv velv umid txtn pres
TO02202 1_200061068            42.404   11.390   12 Tos prec temp dirv velv umid txtn pres
TO02203 1_200061070            44.065   10.077   55 Tos prec temp dirv velv umid txtn pres
TO02204 1_200061071            43.584   11.542  200 Tos prec temp dirv velv umid txtn pres
TO02205 1_200061072            43.666   11.041  198 Tos prec temp dirv velv umid txtn pres
