IDStazione Regione Latitudine Longitudine TimeLead Osservazione
1_430200 emilia-romagna 44.836899 10.5781 2020091 107.20000300000001
1_430300 emilia-romagna 44.1394 12.2406 2020091 0.0
1_430400 emilia-romagna 44.0411 11.9819 2020091 69.19999899999999
1_430500 emilia-romagna 44.8325 11.6211 2020091 36.60000000000001
1_430600 emilia-romagna 44.220299 12.0419 2020091 38.4
1_430800 emilia-romagna 44.359699 11.9592 2020091 65.00000100000001
1_430900 emilia-romagna 44.570801 11.5336 2020091 46.800002
1_431000 emilia-romagna 44.831699 11.4542 2020091 32.4
1_431100 emilia-romagna 44.886101000000004 11.0161 2020091 39.199999
1_431200 emilia-romagna 44.656399 10.9169 2020091 52.400000999999996
1_431300 emilia-romagna 44.119999 11.8081 2020091 0.4
1_431400 emilia-romagna 44.3283 10.6228 2020091 0.0
1_431500 emilia-romagna 43.9286 12.7125 2020091 60.200001
1_431600 emilia-romagna 43.951698 12.5364 2020091 86.20000100000001
1_431800 emilia-romagna 44.627499 11.2906 2020091 115.400002
1_431900 emilia-romagna 44.780602 10.0386 2020091 43.599999999999994
1_432000 emilia-romagna 44.801701 10.3272 2020091 38.8
1_432100 emilia-romagna 45.055599 9.68028 2020091 7.0
1_432200 emilia-romagna 44.415001000000004 12.2 2020091 45.599999999999994
1_432400 emilia-romagna 44.6978 10.6336 2020091 59.000005
1_432500 emilia-romagna 44.0592 12.5736 2020091 94.8
1_432600 emilia-romagna 44.825802 11.1256 2020091 0.0
1_432700 emilia-romagna 45.041401 9.58972 2020091 15.6
1_432800 emilia-romagna 44.3139 12.16 2020091 69.39999999999999
1_432900 emilia-romagna 44.5686 11.7325 2020091 50.6
1_433000 emilia-romagna 44.4161 11.6897 2020091 27.6
1_433100 emilia-romagna 44.746399 11.7464 2020091 3.000000000000001
1_433200 emilia-romagna 45.006901 10.1678 2020091 24.2
1_402600 valle-aosta 45.6078 7.121389999999999 2020091 35.599966
1_402700 valle-aosta 45.5797 7.191669999999999 2020091 29.200065999999996
1_623300 lombardia 45.839443 9.511666 2020091 128.59766399999998
1_402200 veneto 45.844688 11.367253 2020091 81.0
1_322100 veneto 46.352367 11.966461 2020091 59.400019
1_429500 valle-aosta 45.587799 7.36694 2020091 23.800041000000004
1_429600 valle-aosta 45.664398 7.308889999999999 2020091 28.999990999999998
1_429700 valle-aosta 45.93 7.60306 2020091 40.400141999999995
1_468200 liguria 43.981522 7.69983 2020091 60.59999800000001
1_469700 sicilia 37.6217 15.1658 2020091 29.700001000000004
